"faze_rozpoctu";"rok";"kap_kod";"kap_zkr";"platy_a_oppp";"oppp";"platy";"pocet_zamestnancu";"prumerny_plat";"poradi_prumerneho_platu";"platy_schv_schv";"platy_skut_rozp";"platy_skut_skut";"kategorie";"kap_nazev_cc";"kap_nazev";"kategorie_2014";"ceny_index";"ceny_inflace";"ceny_deflator_2003";"ceny_deflator_2024";"prumerna_mzda_cr";"prumerna_mzda_pha";"prumerny_plat_skut_skut";"mzda_prumer_skut_ke_skut";"plat_base";"prumerny_plat_real_od2024";"prumerny_plat_c2024";"prumerny_plat_c2024_mezirocne";"prumerny_plat_2003";"prumerny_plat_nomi_od2024";"prumerny_plat_vucinh";"prumerny_plat_vucinh_mezirocne";"kategorie_2014_cz";"date"
"SCHV";"2003";"329";"MZe";"1451028000,00";"9155000,00";"1441873000,00";"6332";"18976,00810696990";NA;NA;NA;NA;"SS";"ministerstvo_zemedelstvi";"Ministerstvo zemědělství";"Statni sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1441873000,00";"0,00000000000000000000";"37256,58548888969";NA;"37256,58548888969";"0,0000000000000000000";"1,154960931647590";NA;"Státní správa";"2003-01-01"
"SCHV";"2003";"312";"MF";"499799000,00";"9003000,00";"490796000,00";"1518";"26943,12692138780";NA;NA;NA;NA;"UO";"ministerstvo_financi";"Ministerstvo financí                       ";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"490796000,00";"0,00000000000000000000";"52898,84499553886";NA;"52898,84499553886";"0,0000000000000000000";"1,247944739295405";NA;"Ministerstva";"2003-01-01"
"SCHV";"2003";"374";"SSHR";"99167000,00";"416000,00";"98751000,00";"486";"16932,61316872430";NA;NA;NA;NA;"OSS";"sprava_statnich_hmotnych_rezerv";"Správa státních hmotných rezerv";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"98751000,00";"0,00000000000000000000";"33244,68173256966";NA;"33244,68173256966";"0,0000000000000000000";"1,030591184949744";NA;NA;"2003-01-01"
"SKUT";"2003";"346";"ČÚZK";"1125399120,00";"2519340,00";"1122879780,00";"5606";"16691,63663931500";NA;NA;NA;NA;"OSS_SS";"cesky_urad_zememericky_a_katastralni";"Český úřad zeměměřický a katastrální";"Neustredni st. sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1122879780,00";"0,00000000000000000000";"32771,55995594816";NA;"32771,55995594816";"0,0000000000000000000";"1,015924323756239";NA;"Neústřední st. správa";"2003-01-01"
"SKUT";"2003";"306";"MZV";"221657550,00";"2631040,00";"219026510,00";"740";"24665,14752252250";NA;NA;NA;NA;"UO";"ministerstvo_zahranicnich_veci";"Ministerstvo zahraničních věcí";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"219026510,00";"0,00000000000000000000";"48426,36934432001";NA;"48426,36934432001";"0,0000000000000000000";"1,142433882469778";NA;"Ministerstva";"2003-01-01"
"SKUT";"2003";"329";"MZe";"1488846350,00";"12347860,00";"1476498490,00";"6262";"19648,92060577030";NA;NA;NA;NA;"SS";"ministerstvo_zemedelstvi";"Ministerstvo zemědělství";"Statni sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1476498490,00";"0,00000000000000000000";"38577,74966086804";NA;"38577,74966086804";"0,0000000000000000000";"1,195917261458935";NA;"Státní správa";"2003-01-01"
"SKUT";"2003";"312";"MF";"498111330,00";"9335150,00";"488776180,00";"1442";"28246,42741562640";NA;NA;NA;NA;"UO";"ministerstvo_financi";"Ministerstvo financí                       ";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"488776180,00";"0,00000000000000000000";"55457,68276624353";NA;"55457,68276624353";"0,0000000000000000000";"1,308310672331005";NA;"Ministerstva";"2003-01-01"
"SKUT";"2003";"374";"SSHR";"99009930,00";"65470,00";"98944460,00";"464";"17770,19755747130";NA;NA;NA;NA;"OSS";"sprava_statnich_hmotnych_rezerv";"Správa státních hmotných rezerv";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"98944460,00";"0,00000000000000000000";"34889,15480654829";NA;"34889,15480654829";"0,0000000000000000000";"1,081570149572203";NA;NA;"2003-01-01"
"UPRAV";"2003";"374";"SSHR";"99167000,00";"416000,00";"98751000,00";"486";"16932,61316872430";NA;NA;NA;NA;"OSS";"sprava_statnich_hmotnych_rezerv";"Správa státních hmotných rezerv";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"98751000,00";"0,00000000000000000000";"33244,68173256966";NA;"33244,68173256966";"0,0000000000000000000";"1,030591184949744";NA;NA;"2003-01-01"
"UPRAV";"2003";"346";"ČÚZK";"1125577000,00";"2692000,00";"1122885000,00";"5839";"16025,64651481420";NA;NA;NA;NA;"OSS_SS";"cesky_urad_zememericky_a_katastralni";"Český úřad zeměměřický a katastrální";"Neustredni st. sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1122885000,00";"0,00000000000000000000";"31463,98684213259";NA;"31463,98684213259";"0,0000000000000000000";"0,975389319221802";NA;"Neústřední st. správa";"2003-01-01"
