"graph","graph_cat","graph_group","title","title_short","title_sub"
"graf_A8","dodat",6,"Graf 6. Celkové změny platů a počtu zaměstnanců v období 2004-{YEAR}","6. Změny platů a počtů",
"graf_A9","dodat",7,"Graf 7a. Rozdíl mezi schváleným a skutečným počtem zaměstnanců (v %)","7. Plnění rozpočtu","7a. Počty zaměstnanců"
"graf_A11","dodat",7,"Graf 7b. Rozdíl mezi schváleným a skutečným počtem zaměstnanců (%)","7. Plnění rozpočtu","7b. Počty zaměstnanců ‒ kategorie"
"graf_A10","dodat",7,"Graf 7c. Rozdíl v průměrných platech mezi schváleným rozpočtem a skutečností (v %)","7. Plnění rozpočtu","7c. Průměrné platy"
"graf_A12","dodat",7,"Graf 7d. Rozdíl v průměrných platech mezi schváleným rozpočtem a skutečnos","7. Plnění rozpočtu","7d. Průměrné platy ‒ kategorie"
"graf_A13","dodat",8,"Graf 8. Nárůst průměrných platů od roku 2003 (v %)","8. Nárůst průměrných platů",
"graf_A16","dodat",9,"Graf 9a. Počet zaměstnanců veřejného sektoru","9. Širší kontext","9a. Počet zam. veř. sektoru"
"graf_A15","dodat",9,"Graf 9b. Meziroční změny průměrných reálných mezd (v odvětvích dle NACE), v %","9. Širší kontext","9b. Změna platů podle odvětví"
"graf_A17","dodat",10,"Graf 10. Změny počtu zaměstnanců ve sféře rozpočtové regulace, podle kategorií","10. Změny počtu zam. podle kategorií",
"graf_1","hlav",1,"Graf 1a. Počet zaměstnanců státu dle regulace zaměstnanosti ({YEAR})","1. Zaměstnanci dle kategorií","1a. Počty zaměstnanců"
"graf_A1","hlav",1,"Graf 1b. Výdaje na zaměstnance státu dle regulace zaměstnanosti ({YEAR})","1. Zaměstnanci dle kategorií","1b. Výdaje na platy"
"graf_2","hlav",2,"Graf 2a. Počet zaměstnanců státu dle rozpočtových kapitol ({YEAR})","2. Zaměstnanci dle kapitol rozpočtu","2a. Počty zaměstnanců"
"graf_A2","hlav",2,"Graf 2b. Výdaje na  zaměstnance státu dle rozpočtových kapitol (rok {YEAR}, mld. Kč)","2. Zaměstnanci dle kapitol rozpočtu","2b. Výdaje na platy"
"graf_3","hlav",3,"Graf 3a. Průměrné platy zaměstnanců státu ({YEAR})","3. Průměrné platy dle úřadů","3a. Absolutní hodnoty"
"graf_A3","hlav",3,"Graf 3b. Průměrné platy zaměstnanců státu v poměru k průměrné mzdě v ekonomice ({YEAR})","3. Průměrné platy dle úřadů","3b. Vůči průměrné mzdě"
"graf_4","hlav",4,"Graf 4a. Počet státních úředníků (2003–{YEAR})","4. Trendy","4a. Počty zaměstnanců"
"graf_A14","hlav",4,"Graf 4b. Počet státních úředníků, včetně MV a MZV (2003-{YEAR})","4. Trendy","4b. Počty zam., včetně MV a MZV"
"graf_A4","hlav",4,"Graf 4c. Výdaje na platy státních úředníků (2003-{YEAR})","4. Trendy","4c. Výdaje na platy"
"graf_A5","hlav",4,"Graf 4d. Reálné výdaje na platy státních úředníků (2003-{YEAR})","4. Trendy","4d. Reálné výdaje na platy"
"graf_A6","hlav",4,"Graf 4e. Změna reálných výdajů na platy státních úředníků (v % základny roku 200","4. Trendy","4e. Změna reálných výdajů na platy"
"graf_5","hlav",5,"Graf 5a. Reálné platy státních úředníků 2004-{YEAR} (v cenách roku {YEAR})","5. Průměrné platy podle kategorií","5a. V reálném vyjádření"
"graf_6","hlav",5,"Graf 5b. Průměrné platy státních úředníků v poměru k průměrné mzdě v ekonomice","5. Průměrné platy podle kategorií","5b. Vůči průměrné mzdě"
"graf_A7","hlav",5,"Graf 5c. Změna reálných výdajů na platy státních úředníků (v % základny roku 2003)","5. Průměrné platy podle kategorií","5c. Změna reálných platů"
"prohlizecka","prohliz",11,"Nástroj pro vlastní analýzy: dlouhodobé trendy","Srovnejte si sami",""
