"graph","keyword_name","keyword_definition"
"graf_1","Zaměstnanci státu","Tento pojem používáme široce – nemáme na mysli státní zaměstnance podle zákona o státní službě."
"graf_1","Rozpočtová regulace zaměstnanosti","Rozsah organizací, jejichž prostředky na platy a počty zaměstnanců jsou regulovány státním rozpočtem. Kromě ústřední státní správy zahrnuje i ozbrojené sbory, armádu a příspěvkové organizace, včetně škol zřizovaných samosprávami."
"graf_1","Příspěvkové organizace","Tato kategorie zahrnuje i školy jakožto příspěvkové organizace obcí a krajů, jejichž náklady na zaměstnance jsou hrazeny ze státního rozpočtu formou transferu obcím."
"graf_1","Ministerstva","Zahrnuje ministerstva a Úřad vlády ČR, tj. včechny ústřední orgány řízené členy vlády.  U MV a MO zahrnuje i příslušníky a vojáky zaměstnané v ústředním orgánu."
"graf_1","Zaměstnanci","Jde o tzv. přepočtené zaměstnance, tj. počty 100% úvazků. Dva zaměstnanci pracující na 0,5 úvazku v tomto součtu platí za 1 zaměstnance. Zaměstnanci pracující na dohody zde zahrnutí nejsou."
"graf_1","Ostatní ústřední orgány","Zahrnuje ústřední orgány, které neřídí člen vlády. V praxi jde o specializované instituce jako např. ČÚZK nebo regulátory jako např. ERÚ."
"graf_1","Neústřední státní správa","Zahrnuje organizace typicky podřízené ministerstvům, které většinou poskytují služby, např. Finanční správa nebo Úřad práce."
"graf_1","Ostatní vč. armády","Široká skupina organizací v rozpočtových kapitolách, které nejsou spravovány ústředními orgány státní správy, např. Akademie věd a TA ČR. Objemově zde dominuje Armáda ČR. Právně jde o organizace, které nevykonávají státní správu."
"graf_1","Sbory","Skupina oficiálně nazývaná 'složky obrany, bezpečnosti, celní a právní ochrany'. Většinu tvoří příslušníci Policie ČR, Hasičského záchranného sboru, Celní správy a Vězeňské služby. Nezahrnuje Armádu ČR."
"graf_2","Zaměstnanci státu","Tento pojem používáme široce – nemáme na mysli státní zaměstnance podle zákona o státní službě."
"graf_2","Rozpočtové kapitoly","Zahrnují více organizací, vč. ústředního orgánu, např. ministerstva, které je zodpovědné za řízení výdajů celé kapitoly. Vysvětlivky zkratek rozpočtových kapitol - <a href='pdf/zkratky.pdf' target='_blank'>odkaz</a>."
