Název kapitoly,Zkratka kapitoly
Akademie věd,AV
Český báňský úřad,ČBÚ
Český statistický úřad,ČSÚ
Český telekomunikační úřad,ČTÚ
Český úřad zeměměřický a katastrální,ČÚZK
Digitální a informační agentura,DIA
Energetický regulační úřad,ERÚ
Generální inspekce bezpečnostních sborů,GIBS
Grantová agentura,GA
Kancelář prezidenta,KPR
Senát,KSen
Kancelář veřejného ochránce práv,KVOP
Komise pro cenné papíry,KCP
Ministerstvo dopravy,MD
Ministerstvo financí,MF
Ministerstvo informatiky,MI
Ministerstvo kultury,MK
Ministerstvo obrany,MO
Ministerstvo práce a sociálních věcí,MPSV
Ministerstvo pro hospodářskou soutěž,ÚOHS
Ministerstvo pro místní rozvoj,MMR
Ministerstvo průmyslu a obchodu,MPO
"Ministerstvo školství, mládeže a tělovýchovy",MŠMT
Ministerstvo spravedlnosti,MSpr
Ministerstvo vnitra,MV
Ministerstvo zahraničních věcí,MZV
Ministerstvo zdravotnictví,MZdr
Ministerstvo zemědělství,MZe
Ministerstvo životního prostředí,MŽP
Národní bezpečnostní úřad,NBÚ
Národní sportovní agentura,NSA
Národní úřad pro kybernetickou a informační bezpečnost,NÚKIB
Nejvyšší kontrolní úřad,NKÚ
Poslanecká sněmovna,KSněm
Rada pro rozhlasové a televizní vysílání,RRTV
Správa státních hmotných rezerv,SSHR
Státní úřad pro jadernou bezpečnost,SÚJB
Technologická agentura ČR,TAČR
Úřad Národní rozpočtové rady,ÚNRR
Úřad pro dohled nad hospodařením politických stran a politických hnutí,UDHPS
Úřad pro ochranu osobních údajů,ÚOOÚ
Úřad pro přístup k dopravní infrastruktuře,ÚPDI
Úřad pro veřejné informační systémy,UVIS
Úřad průmyslového vlastnictví,ÚPV
Úřad vlády,ÚV
Ústav pro studium totalitních režimů,ÚSTR
Ústavní soud,ÚS
